"Team","EloRating","Rank"
"Inter",1708,1
"Napoli",1669,2
"Roma",1652,3
"Juventus",1645,4
"Atalanta",1635,5
"Milan",1604,6
"Lazio",1599,7
"Fiorentina",1592,8
"Bologna",1589,9
"Como",1525,10
"Genoa",1495,11
"Torino",1493,12
"Cremonese",1461,13
"Parma",1457,14
"Udinese",1456,15
"Verona",1444,16
"Cagliari",1436,17
"Lecce",1434,18
"Sassuolo",1433,19
