"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";33;25;3;5;78;29;78;77.18;29.96;9.28;15.92;385;112;73.11
2;"AC Milan";33;19;9;5;48;27;66;58.31;36.72;14.36;15.15;261;167;59.29
3;"Napoli";33;20;6;7;48;33;66;49.47;37;11.2;16.4;229;136;54.45
4;"Juventus";33;18;9;6;57;29;63;64.57;33.23;10.86;15.96;332;156;64.4
5;"Como";33;16;10;7;57;28;58;58.51;35.28;7.7;15.02;211;127;58.31
6;"Roma";33;18;4;11;46;29;58;50.24;39.98;8.5;12.87;278;148;53.85
7;"Atalanta";33;14;12;7;45;29;54;61.16;44.75;11.25;13.34;303;216;56.97
8;"Bologna";33;14;6;13;42;39;48;45.09;45.09;9.53;11.73;179;157;46.32
9;"Lazio";33;12;11;10;34;30;47;41.12;41.47;16.22;12.84;155;186;43.1
10;"Sassuolo";33;13;6;14;41;44;45;38.91;52.72;15.72;9.95;169;243;38.96
11;"Udinese";33;12;7;14;38;43;43;39.72;50.64;11.19;8.83;172;176;39.09
12;"Torino";33;11;7;15;37;54;40;42.96;50.08;12.98;11.3;142;222;41.72
13;"Genoa";33;10;9;14;40;46;39;44.05;48.41;10.25;9.81;125;197;42.04
14;"Parma Calcio 1913";33;9;12;12;24;40;39;31.76;51.42;13.41;9.53;118;257;34.22
15;"Fiorentina";33;8;12;13;38;45;36;47.52;49.95;12.29;11.31;156;194;42.98
16;"Cagliari";33;8;9;16;33;47;33;34.09;52.52;14.39;10;111;195;33.96
17;"Cremonese";33;6;10;17;26;47;28;33.55;59.32;13.12;10.39;102;244;30.83
18;"Lecce";33;7;7;19;22;46;28;30.55;56.7;11.86;7.56;112;237;29.7
19;"Verona";33;3;9;21;23;56;18;34.15;44.23;11.9;10.13;135;186;38.52
20;"Pisa";33;2;12;19;24;60;18;36.64;60.08;13.41;9.04;148;267;33.19
