"HomeTeam","AwayTeam","Actual","ModelPred","Confidence","ModelHome","ModelDraw","ModelAway","BookieHome","BookieDraw","BookieAway","ValueHome","ValueDraw","ValueAway","BookieMargin","OddsH","OddsD","OddsA","MaxValueGap"
"Atalanta","Napoli","A","A",19,0.2977,0.2438,0.4567,0.4194,0.2903,0.2903,-0.1217,-0.0465,0.1664,6,2.25,3.25,3.25,0.1664
"Fiorentina","Torino","D","H",28,0.5179,0.2475,0.233,0.5484,0.2791,0.1725,-0.0305,-0.0316,0.0605,5.4,1.73,3.4,5.5,0.0605
"Cagliari","Lecce","H","H",15,0.4338,0.2786,0.2871,0.4839,0.2859,0.2302,-0.0501,-0.0073,0.0569,6,1.95,3.3,4.1,0.0569
"Parma","Venezia","D","H",24,0.4961,0.2632,0.2399,0.4396,0.2555,0.3049,0.0565,0.0077,-0.065,5.8,2.15,3.7,3.1,0.065
"Verona","Lazio","A","A",39,0.1855,0.2194,0.5915,0.1892,0.2703,0.5405,-0.0037,-0.0509,0.051,5.7,5,3.5,1.75,0.051
"Inter","Empoli","H","H",63,0.7541,0.1514,0.0813,0.7613,0.1655,0.0732,-0.0072,-0.0141,0.0081,5.1,1.25,5.75,13,0.0141
"Como","Udinese","H","H",19,0.4617,0.2527,0.2842,0.4416,0.2792,0.2792,0.0201,-0.0265,0.005,5.3,2.15,3.4,3.4,0.0265
"Torino","Cagliari","H","H",25,0.5022,0.3,0.1975,0.435,0.2991,0.2659,0.0672,9e-04,-0.0684,4.5,2.2,3.2,3.6,0.0684
"Como","Atalanta","A","A",40,0.1899,0.2066,0.5978,0.2254,0.2629,0.5117,-0.0355,-0.0563,0.0861,5.6,4.2,3.6,1.85,0.0861
"Napoli","Juventus","H","H",11,0.4069,0.2718,0.3206,0.4426,0.307,0.2504,-0.0357,-0.0352,0.0702,5.1,2.15,3.1,3.8,0.0702
"Empoli","Bologna","D","A",21,0.2555,0.2738,0.4701,0.2468,0.2842,0.469,0.0087,-0.0104,0.0011,6.6,3.8,3.3,2,0.0104
"Milan","Parma","H","H",50,0.6674,0.1931,0.1332,0.7301,0.1582,0.1117,-0.0627,0.0349,0.0215,5.4,1.3,6,8.5,0.0627
"Udinese","Roma","A","A",18,0.2829,0.2633,0.453,0.2885,0.2885,0.4231,-0.0056,-0.0252,0.0299,5.1,3.3,3.3,2.25,0.0299
"Lecce","Inter","A","A",68,0.0594,0.1377,0.7889,0.1005,0.1818,0.7177,-0.0411,-0.0441,0.0712,4.8,9.5,5.25,1.33,0.0712
"Lazio","Fiorentina","A","H",21,0.4701,0.2485,0.2799,0.4767,0.2724,0.2509,-0.0066,-0.0239,0.029,4.9,2,3.5,3.8,0.029
"Venezia","Verona","D","A",5,0.3278,0.3032,0.3687,0.4394,0.2699,0.2907,-0.1116,0.0333,0.078,5.9,2.15,3.5,3.25,0.1116
"Genoa","Monza","H","H",21,0.4714,0.2715,0.2564,0.4211,0.3158,0.2632,0.0503,-0.0443,-0.0068,5.6,2.25,3,3.6,0.0503
"Parma","Lecce","A","H",12,0.4132,0.2894,0.2971,0.4451,0.2815,0.2734,-0.0319,0.0079,0.0237,4.5,2.15,3.4,3.5,0.0319
"Monza","Verona","A","A",6,0.3336,0.2947,0.3715,0.4126,0.3163,0.2711,-0.079,-0.0216,0.1004,5.4,2.3,3,3.5,0.1004
"Udinese","Venezia","H","H",29,0.5272,0.2632,0.2087,0.5142,0.2767,0.2091,0.013,-0.0135,-4e-04,6.3,1.83,3.4,4.5,0.0135
"Atalanta","Torino","D","H",36,0.5708,0.217,0.2079,0.6645,0.2097,0.1258,-0.0937,0.0073,0.0821,6,1.42,4.5,7.5,0.0937
"Bologna","Como","H","H",27,0.5136,0.2624,0.223,0.5012,0.2721,0.2267,0.0124,-0.0097,-0.0037,5,1.9,3.5,4.2,0.0124
"Juventus","Empoli","H","H",54,0.6915,0.2019,0.103,0.6957,0.1992,0.1051,-0.0042,0.0027,-0.0021,5.7,1.36,4.75,9,0.0042
"Fiorentina","Genoa","H","H",38,0.5883,0.2402,0.1698,0.5756,0.2435,0.1809,0.0127,-0.0033,-0.0111,5.3,1.65,3.9,5.25,0.0127
"Milan","Inter","D","A",20,0.2729,0.2596,0.4665,0.236,0.2697,0.4943,0.0369,-0.0101,-0.0278,5.9,4,3.5,1.91,0.0369
"Roma","Napoli","D","A",8,0.3382,0.276,0.3852,0.3057,0.2961,0.3982,0.0325,-0.0201,-0.013,5.5,3.1,3.2,2.38,0.0325
"Cagliari","Lazio","A","A",32,0.2257,0.2229,0.5478,0.2441,0.28,0.476,-0.0184,-0.0571,0.0718,5.1,3.9,3.4,2,0.0718
"Fiorentina","Inter","H","A",32,0.218,0.2332,0.5462,0.2642,0.2718,0.464,-0.0462,-0.0386,0.0822,5.1,3.6,3.5,2.05,0.0822
"Como","Juventus","A","A",24,0.2548,0.2479,0.4958,0.2569,0.2795,0.4636,-0.0021,-0.0316,0.0322,5.2,3.7,3.4,2.05,0.0322
"Verona","Atalanta","A","A",57,0.1082,0.1663,0.7138,0.1513,0.2306,0.6181,-0.0431,-0.0643,0.0957,5.7,6.25,4.1,1.53,0.0957
"Empoli","Milan","A","A",46,0.1466,0.2056,0.6432,0.173,0.2504,0.5766,-0.0264,-0.0448,0.0666,5.1,5.5,3.8,1.65,0.0666
"Torino","Genoa","D","H",16,0.4388,0.325,0.2361,0.4309,0.3058,0.2633,0.0079,0.0192,-0.0272,5.5,2.2,3.1,3.6,0.0272
"Venezia","Roma","A","A",28,0.2135,0.2649,0.5207,0.1908,0.2578,0.5514,0.0227,0.0071,-0.0307,4.8,5,3.7,1.73,0.0307
"Cagliari","Parma","H","H",12,0.4154,0.2419,0.3407,0.5089,0.2615,0.2296,-0.0935,-0.0196,0.1111,6.2,1.85,3.6,4.1,0.1111
"Lazio","Monza","H","H",48,0.6538,0.2024,0.139,0.6883,0.2,0.1117,-0.0345,0.0024,0.0273,5.3,1.38,4.75,8.5,0.0345
"Lecce","Bologna","D","A",25,0.2342,0.2637,0.5012,0.2273,0.2728,0.4999,0.0069,-0.0091,0.0013,4.7,4.2,3.5,1.91,0.0091
"Napoli","Udinese","D","H",43,0.6218,0.2186,0.1564,0.6614,0.2116,0.127,-0.0396,0.007,0.0294,5,1.44,4.5,7.5,0.0396
"Inter","Fiorentina","H","H",44,0.6289,0.2069,0.1594,0.6497,0.2024,0.1479,-0.0208,0.0045,0.0115,4,1.48,4.75,6.5,0.0208
"Bologna","Torino","H","H",27,0.5118,0.2598,0.2274,0.5293,0.2802,0.1905,-0.0175,-0.0204,0.0369,5,1.8,3.4,5,0.0369
"Atalanta","Cagliari","D","H",56,0.7098,0.1701,0.1097,0.6559,0.1988,0.1453,0.0539,-0.0287,-0.0356,5.9,1.44,4.75,6.5,0.0539
"Lazio","Napoli","D","A",20,0.2714,0.2579,0.4696,0.3622,0.2977,0.3402,-0.0908,-0.0398,0.1294,5,2.63,3.2,2.8,0.1294
"Milan","Verona","H","H",46,0.6385,0.2201,0.1386,0.7042,0.1972,0.0986,-0.0657,0.0229,0.04,6.8,1.33,4.75,9.5,0.0657
"Fiorentina","Como","A","H",28,0.5202,0.2499,0.2285,0.4751,0.2715,0.2534,0.0451,-0.0216,-0.0249,5.2,2,3.5,3.75,0.0451
"Monza","Lecce","D","H",5,0.3615,0.3163,0.3221,0.3516,0.2967,0.3516,0.0099,0.0196,-0.0295,5.3,2.7,3.2,2.7,0.0295
"Udinese","Empoli","H","H",16,0.4384,0.2704,0.2906,0.5282,0.2716,0.2002,-0.0898,-0.0012,0.0904,5.2,1.8,3.5,4.75,0.0904
"Parma","Roma","A","A",26,0.2487,0.2458,0.5039,0.2642,0.2718,0.464,-0.0155,-0.026,0.0399,5.1,3.6,3.5,2.05,0.0399
"Juventus","Inter","H","A",9,0.3195,0.2865,0.3937,0.2798,0.2973,0.4229,0.0397,-0.0108,-0.0292,5.1,3.4,3.2,2.25,0.0397
"Genoa","Venezia","H","H",29,0.5239,0.2674,0.2079,0.5114,0.2783,0.2103,0.0125,-0.0109,-0.0024,5.7,1.85,3.4,4.5,0.0125
"Lecce","Udinese","A","A",18,0.2629,0.2845,0.4522,0.3171,0.3171,0.3659,-0.0542,-0.0326,0.0863,5.1,3,3,2.6,0.0863
"Parma","Bologna","H","A",12,0.3288,0.2536,0.4164,0.236,0.2697,0.4943,0.0928,-0.0161,-0.0779,5.9,4,3.5,1.91,0.0928
"Venezia","Lazio","D","A",36,0.1843,0.2425,0.5714,0.1907,0.2384,0.5709,-0.0064,0.0041,5e-04,4.9,5,4,1.67,0.0064
"Torino","Milan","H","A",18,0.2726,0.2719,0.4549,0.242,0.286,0.4719,0.0306,-0.0141,-0.017,5.9,3.9,3.3,2,0.0306
"Inter","Genoa","H","H",60,0.7317,0.1734,0.0877,0.7465,0.1806,0.0729,-0.0148,-0.0072,0.0148,5.5,1.27,5.25,13,0.0148
"Como","Napoli","H","A",39,0.1807,0.2229,0.5933,0.2632,0.3158,0.4211,-0.0825,-0.0929,0.1722,5.6,3.6,3,2.25,0.1722
"Verona","Fiorentina","H","A",29,0.23,0.2432,0.525,0.2197,0.2797,0.5006,0.0103,-0.0365,0.0244,5.1,4.33,3.4,1.9,0.0365
"Empoli","Atalanta","A","A",58,0.0978,0.1782,0.717,0.1519,0.2434,0.6047,-0.0541,-0.0652,0.1123,5.3,6.25,3.9,1.57,0.1123
"Cagliari","Juventus","A","A",37,0.1926,0.2246,0.5797,0.231,0.2706,0.4984,-0.0384,-0.046,0.0813,5.6,4.1,3.5,1.9,0.0813
"Roma","Monza","H","H",57,0.7122,0.1801,0.1008,0.7138,0.1999,0.0863,-0.0016,-0.0198,0.0145,5.3,1.33,4.75,11,0.0198
"Bologna","Milan","H","H",9,0.3906,0.2498,0.3582,0.3306,0.2885,0.3809,0.06,-0.0387,-0.0227,5,2.88,3.3,2.5,0.06
"Fiorentina","Lecce","H","H",41,0.6082,0.238,0.1521,0.5363,0.276,0.1877,0.0719,-0.038,-0.0356,6.6,1.75,3.4,5,0.0719
"Atalanta","Venezia","D","H",61,0.7419,0.1546,0.09,0.7908,0.146,0.0633,-0.0489,0.0086,0.0267,5.4,1.2,6.5,15,0.0489
"Napoli","Inter","D","A",22,0.2647,0.2519,0.4821,0.3057,0.2961,0.3982,-0.041,-0.0442,0.0839,5.5,3.1,3.2,2.38,0.0839
"Udinese","Parma","H","H",15,0.4331,0.2558,0.31,0.5263,0.2632,0.2105,-0.0932,-0.0074,0.0995,5.6,1.8,3.6,4.5,0.0995
"Monza","Torino","A","A",17,0.2722,0.2788,0.4485,0.2302,0.2859,0.4839,0.042,-0.0071,-0.0354,6,4.1,3.3,1.95,0.042
"Bologna","Cagliari","H","H",47,0.6463,0.2203,0.1307,0.6023,0.2522,0.1455,0.044,-0.0319,-0.0148,5.7,1.57,3.75,6.5,0.044
"Genoa","Empoli","D","H",15,0.4364,0.2743,0.2887,0.4955,0.3053,0.1992,-0.0591,-0.031,0.0895,5.7,1.91,3.1,4.75,0.0895
"Roma","Como","H","H",39,0.5964,0.231,0.1703,0.5033,0.2614,0.2353,0.0931,-0.0304,-0.065,6.3,1.87,3.6,4,0.0931
"Milan","Lazio","A","H",20,0.469,0.2554,0.2744,0.464,0.2642,0.2718,0.005,-0.0088,0.0026,5.1,2.05,3.6,3.5,0.0088
"Juventus","Verona","H","H",50,0.6671,0.2184,0.1121,0.7308,0.19,0.0792,-0.0637,0.0284,0.0329,5.3,1.3,5,12,0.0637
"Cagliari","Genoa","D","H",11,0.4091,0.274,0.3164,0.3873,0.3163,0.2965,0.0218,-0.0423,0.0199,5.4,2.45,3,3.2,0.0423
"Como","Venezia","D","H",39,0.5962,0.2288,0.1725,0.6043,0.2497,0.146,-0.0081,-0.0209,0.0265,5.4,1.57,3.8,6.5,0.0265
"Parma","Torino","D","A",13,0.3134,0.263,0.4228,0.3152,0.2909,0.3939,-0.0018,-0.0279,0.0289,5.8,3,3.25,2.4,0.0289
"Lecce","Milan","A","A",51,0.1293,0.1905,0.6737,0.1987,0.2621,0.5392,-0.0694,-0.0716,0.1345,6,4.75,3.6,1.75,0.1345
"Inter","Monza","H","H",67,0.778,0.1382,0.0677,0.8216,0.1338,0.0446,-0.0436,0.0044,0.0231,6.8,1.14,7,21,0.0436
"Verona","Bologna","A","A",18,0.2914,0.2539,0.4534,0.1789,0.2846,0.5366,0.1125,-0.0307,-0.0832,6.5,5.25,3.3,1.75,0.1125
"Napoli","Fiorentina","H","H",28,0.5179,0.2459,0.2346,0.6114,0.2369,0.1516,-0.0935,0.009,0.083,5.5,1.55,4,6.25,0.0935
"Empoli","Roma","A","A",32,0.1918,0.2582,0.5489,0.242,0.286,0.4719,-0.0502,-0.0278,0.077,5.9,3.9,3.3,2,0.077
"Juventus","Atalanta","A","H",9,0.3963,0.2769,0.3264,0.3792,0.2917,0.3291,0.0171,-0.0148,-0.0027,5.5,2.5,3.25,2.88,0.0171
"Lazio","Udinese","D","H",37,0.5793,0.2279,0.1901,0.5483,0.271,0.1807,0.031,-0.0431,0.0094,5.4,1.73,3.5,5.25,0.0431
"Genoa","Lecce","H","H",16,0.4412,0.299,0.2595,0.4438,0.329,0.2272,-0.0026,-0.03,0.0323,4.8,2.15,2.9,4.2,0.0323
"Monza","Parma","D","A",8,0.3445,0.2695,0.3853,0.3032,0.3133,0.3836,0.0413,-0.0438,0.0017,6.4,3.1,3,2.45,0.0438
"Udinese","Verona","A","H",12,0.4164,0.2799,0.3033,0.5434,0.2686,0.188,-0.127,0.0113,0.1153,6.4,1.73,3.5,5,0.127
"Milan","Como","H","H",36,0.5758,0.2418,0.1807,0.5263,0.2632,0.2105,0.0495,-0.0214,-0.0298,5.6,1.8,3.6,4.5,0.0495
"Torino","Empoli","H","H",19,0.4599,0.3012,0.2386,0.5248,0.2863,0.1889,-0.0649,0.0149,0.0497,5.9,1.8,3.3,5,0.0649
"Venezia","Napoli","D","A",52,0.1091,0.2088,0.679,0.1643,0.2182,0.6175,-0.0552,-0.0094,0.0615,5.8,5.75,4.33,1.53,0.0615
"Bologna","Lazio","H","H",11,0.4055,0.2651,0.3287,0.398,0.3081,0.2939,0.0075,-0.043,0.0348,4.7,2.4,3.1,3.25,0.043
"Roma","Cagliari","H","H",58,0.7212,0.1791,0.0932,0.6103,0.2252,0.1645,0.1109,-0.0461,-0.0713,5.7,1.55,4.2,5.75,0.1109
"Fiorentina","Juventus","H","A",6,0.3546,0.2684,0.3763,0.2798,0.2973,0.4229,0.0748,-0.0289,-0.0466,5.1,3.4,3.2,2.25,0.0748
"Atalanta","Inter","A","A",30,0.2421,0.2201,0.5335,0.3727,0.288,0.3394,-0.1306,-0.0679,0.1941,5.2,2.55,3.3,2.8,0.1941
"Como","Empoli","D","H",26,0.5049,0.2449,0.2485,0.5366,0.2846,0.1789,-0.0317,-0.0397,0.0696,6.5,1.75,3.3,5.25,0.0696
"Venezia","Bologna","A","A",16,0.2816,0.2768,0.441,0.1892,0.2703,0.5405,0.0924,0.0065,-0.0995,5.7,5,3.5,1.75,0.0995
"Juventus","Genoa","H","H",50,0.6634,0.2268,0.1078,0.6208,0.2435,0.1357,0.0426,-0.0167,-0.0279,5.3,1.53,3.9,7,0.0426
"Lecce","Roma","A","A",37,0.1735,0.2447,0.5802,0.1972,0.2676,0.5352,-0.0237,-0.0229,0.045,6.8,4.75,3.5,1.75,0.045
"Cagliari","Monza","H","H",19,0.4615,0.2541,0.2832,0.5616,0.2679,0.1705,-0.1001,-0.0138,0.1127,6.6,1.67,3.5,5.5,0.1127
"Fiorentina","Atalanta","H","A",21,0.2859,0.2419,0.4702,0.2522,0.2866,0.4613,0.0337,-0.0447,0.0089,5.8,3.75,3.3,2.05,0.0447
"Inter","Udinese","H","H",58,0.722,0.1693,0.0993,0.672,0.2173,0.1107,0.05,-0.048,-0.0114,6.3,1.4,4.33,8.5,0.05
"Napoli","Milan","H","H",17,0.4489,0.2388,0.31,0.4937,0.2549,0.2515,-0.0448,-0.0161,0.0585,6,1.91,3.7,3.75,0.0585
"Verona","Parma","D","A",9,0.3536,0.2546,0.3906,0.3924,0.3038,0.3038,-0.0388,-0.0492,0.0868,6.2,2.4,3.1,3.1,0.0868
"Lazio","Torino","D","H",29,0.5256,0.2429,0.2296,0.5366,0.2846,0.1789,-0.011,-0.0417,0.0507,6.5,1.75,3.3,5.25,0.0507
"Genoa","Udinese","H","H",9,0.3965,0.2784,0.3246,0.3889,0.3308,0.2802,0.0076,-0.0524,0.0444,5,2.45,2.88,3.4,0.0524
"Monza","Como","A","A",16,0.2758,0.2838,0.44,0.1902,0.2503,0.5595,0.0856,0.0335,-0.1195,5.1,5,3.8,1.7,0.1195
"Parma","Inter","D","A",61,0.0903,0.1537,0.742,0.1463,0.2113,0.6424,-0.056,-0.0576,0.0996,5.2,6.5,4.5,1.48,0.0996
"Milan","Fiorentina","D","H",28,0.5231,0.2492,0.2262,0.5012,0.2721,0.2267,0.0219,-0.0229,-5e-04,5,1.9,3.5,4.2,0.0229
"Lecce","Venezia","D","H",6,0.3764,0.3083,0.3152,0.4135,0.3068,0.2797,-0.0371,0.0015,0.0355,5.1,2.3,3.1,3.4,0.0371
"Empoli","Cagliari","D","H",5,0.3633,0.31,0.3265,0.3836,0.3133,0.3032,-0.0203,-0.0033,0.0233,6.4,2.45,3,3.1,0.0233
"Torino","Verona","D","H",16,0.4376,0.3133,0.2488,0.5248,0.2952,0.1799,-0.0872,0.0181,0.0689,5.9,1.8,3.2,5.25,0.0872
"Atalanta","Lazio","A","H",18,0.4518,0.2305,0.3147,0.5595,0.2503,0.1902,-0.1077,-0.0198,0.1245,5.1,1.7,3.8,5,0.1245
"Roma","Juventus","D","H",15,0.4317,0.2701,0.2976,0.3788,0.3055,0.3157,0.0529,-0.0354,-0.0181,5.6,2.5,3.1,3,0.0529
"Bologna","Napoli","D","A",18,0.2703,0.2756,0.4535,0.3289,0.3179,0.3532,-0.0586,-0.0423,0.1003,4.9,2.9,3,2.7,0.1003
"Udinese","Milan","A","A",32,0.2281,0.224,0.5444,0.2378,0.2642,0.498,-0.0097,-0.0402,0.0464,5.1,4,3.6,1.91,0.0464
"Venezia","Monza","H","H",7,0.3783,0.2986,0.3229,0.5475,0.2631,0.1894,-0.1692,0.0355,0.1335,5.6,1.73,3.6,5,0.1692
"Inter","Cagliari","H","H",68,0.7855,0.1368,0.0625,0.7044,0.1785,0.1171,0.0811,-0.0417,-0.0546,6.7,1.33,5.25,8,0.0811
"Juventus","Lecce","H","H",52,0.6779,0.2236,0.0965,0.7,0.2069,0.0931,-0.0221,0.0167,0.0034,7.4,1.33,4.5,10,0.0221
"Atalanta","Bologna","H","H",39,0.5946,0.2027,0.1959,0.4861,0.2708,0.2431,0.1085,-0.0681,-0.0472,5.5,1.95,3.5,3.9,0.1085
"Fiorentina","Parma","D","H",42,0.6134,0.2076,0.1739,0.5496,0.2502,0.2002,0.0638,-0.0426,-0.0263,5.2,1.73,3.8,4.75,0.0638
"Verona","Genoa","D","A",5,0.351,0.29,0.3586,0.3149,0.3258,0.3593,0.0361,-0.0358,-7e-04,5.8,3,2.9,2.63,0.0361
"Como","Torino","H","H",11,0.4076,0.2584,0.333,0.4971,0.2713,0.2316,-0.0895,-0.0129,0.1014,5.3,1.91,3.5,4.1,0.1014
"Lazio","Roma","D","H",18,0.4518,0.253,0.2939,0.3402,0.2977,0.3622,0.1116,-0.0447,-0.0683,5,2.8,3.2,2.63,0.1116
"Napoli","Empoli","H","H",49,0.6607,0.2025,0.1322,0.7112,0.1892,0.0996,-0.0505,0.0133,0.0326,5.7,1.33,5,9.5,0.0505
"Lecce","Como","A","A",24,0.2274,0.2786,0.4934,0.2522,0.2866,0.4613,-0.0248,-0.008,0.0321,5.8,3.75,3.3,2.05,0.0321
"Monza","Napoli","A","A",53,0.1085,0.2003,0.6872,0.0731,0.1901,0.7368,0.0354,0.0102,-0.0496,5.2,13,5,1.29,0.0496
"Roma","Verona","H","H",49,0.6587,0.2081,0.1294,0.6776,0.2108,0.1116,-0.0189,-0.0027,0.0178,5.4,1.4,4.5,8.5,0.0189
"Empoli","Venezia","D","H",10,0.3982,0.3103,0.2913,0.4211,0.3158,0.2632,-0.0229,-0.0055,0.0281,5.6,2.25,3,3.6,0.0281
"Bologna","Inter","H","A",29,0.2235,0.2486,0.5265,0.2797,0.3068,0.4135,-0.0562,-0.0582,0.113,5.1,3.4,3.1,2.3,0.113
"Milan","Atalanta","A","A",9,0.3474,0.259,0.3926,0.3782,0.2781,0.3438,-0.0308,-0.0191,0.0488,5.8,2.5,3.4,2.75,0.0488
"Cagliari","Fiorentina","A","A",22,0.2764,0.2421,0.4795,0.3062,0.3062,0.3875,-0.0299,-0.0642,0.092,5.3,3.1,3.1,2.45,0.092
"Genoa","Lazio","A","A",25,0.2487,0.2509,0.4991,0.2885,0.2975,0.414,-0.0398,-0.0466,0.0851,5,3.3,3.2,2.3,0.0851
"Parma","Juventus","H","A",38,0.1829,0.2283,0.5862,0.1987,0.2621,0.5392,-0.0158,-0.0338,0.047,6,4.75,3.6,1.75,0.047
"Torino","Udinese","H","H",13,0.4231,0.3083,0.2683,0.3914,0.3239,0.2847,0.0317,-0.0156,-0.0164,6.5,2.4,2.9,3.3,0.0317
"Como","Genoa","H","H",23,0.4856,0.2642,0.2494,0.5172,0.2814,0.2014,-0.0316,-0.0172,0.048,4.5,1.85,3.4,4.75,0.048
"Venezia","Milan","A","A",42,0.1663,0.2153,0.6147,0.2007,0.2384,0.5609,-0.0344,-0.0231,0.0538,4.9,4.75,4,1.7,0.0538
"Fiorentina","Empoli","H","H",42,0.6123,0.2189,0.1654,0.5183,0.271,0.2108,0.094,-0.0521,-0.0454,5.4,1.83,3.5,4.5,0.094
"Inter","Roma","A","H",42,0.6108,0.2149,0.1704,0.5496,0.2502,0.2002,0.0612,-0.0353,-0.0298,5.2,1.73,3.8,4.75,0.0612
"Juventus","Monza","H","H",58,0.7185,0.189,0.0879,0.7937,0.127,0.0794,-0.0752,0.062,0.0085,5,1.2,7.5,12,0.0752
"Atalanta","Lecce","D","H",50,0.6641,0.2,0.131,0.7564,0.1576,0.086,-0.0923,0.0424,0.045,5.8,1.25,6,11,0.0923
"Napoli","Torino","H","H",36,0.5705,0.2366,0.1908,0.6643,0.2178,0.1179,-0.0938,0.0188,0.0729,6,1.42,4.33,8,0.0938
"Udinese","Bologna","D","A",5,0.3657,0.2643,0.3691,0.2119,0.2725,0.5155,0.1538,-0.0082,-0.1464,4.8,4.5,3.5,1.85,0.1538
"Lazio","Parma","D","H",43,0.6213,0.2026,0.1702,0.6226,0.2117,0.1657,-0.0013,-0.0091,0.0045,5,1.53,4.5,5.75,0.0091
"Verona","Cagliari","A","H",12,0.4145,0.279,0.306,0.3812,0.3465,0.2723,0.0333,-0.0675,0.0337,4.9,2.5,2.75,3.5,0.0675
"Torino","Venezia","D","H",30,0.5365,0.2906,0.1725,0.3792,0.3291,0.2917,0.1573,-0.0385,-0.1192,5.5,2.5,2.88,3.25,0.1573
"Cagliari","Udinese","A","H",7,0.3816,0.2581,0.3593,0.4318,0.2968,0.2714,-0.0502,-0.0387,0.0879,5.3,2.2,3.2,3.5,0.0879
"Parma","Como","A","A",12,0.3174,0.2671,0.4147,0.3042,0.2858,0.41,0.0132,-0.0187,0.0047,6,3.1,3.3,2.3,0.0187
"Lecce","Napoli","A","A",60,0.0839,0.1805,0.7301,0.1359,0.2503,0.6138,-0.052,-0.0698,0.1163,5.1,7,3.8,1.55,0.1163
"Inter","Verona","H","H",60,0.7334,0.1669,0.0906,0.7259,0.1797,0.0944,0.0075,-0.0128,-0.0038,6,1.3,5.25,10,0.0128
"Empoli","Lazio","A","A",40,0.1642,0.2341,0.5997,0.2189,0.2633,0.5179,-0.0547,-0.0292,0.0818,5.5,4.33,3.6,1.83,0.0818
"Monza","Atalanta","A","A",55,0.1112,0.1818,0.6997,0.0723,0.1568,0.7709,0.0389,0.025,-0.0712,6.3,13,6,1.22,0.0712
"Roma","Fiorentina","H","H",32,0.5436,0.2399,0.2146,0.5728,0.2554,0.1718,-0.0292,-0.0155,0.0428,5.8,1.65,3.7,5.5,0.0428
"Bologna","Juventus","D","A",5,0.3546,0.2819,0.3631,0.3962,0.3067,0.2971,-0.0416,-0.0248,0.066,5.2,2.4,3.1,3.2,0.066
"Genoa","Milan","A","A",31,0.2291,0.228,0.5398,0.2031,0.2608,0.5361,0.026,-0.0328,0.0037,3.6,4.75,3.7,1.8,0.0328
"Milan","Bologna","H","H",40,0.5997,0.2231,0.1742,0.4093,0.2769,0.3138,0.1904,-0.0538,-0.1396,6.2,2.3,3.4,3,0.1904
"Como","Cagliari","H","H",34,0.5568,0.2398,0.2015,0.5496,0.2502,0.2002,0.0072,-0.0104,0.0013,5.2,1.73,3.8,4.75,0.0104
"Lazio","Juventus","D","A",6,0.3603,0.2651,0.3738,0.3873,0.2965,0.3163,-0.027,-0.0314,0.0575,5.4,2.45,3.2,3,0.0575
"Empoli","Parma","H","A",12,0.3098,0.2774,0.4123,0.4413,0.2875,0.2711,-0.1315,-0.0101,0.1412,5.4,2.15,3.3,3.5,0.1412
"Udinese","Monza","A","H",21,0.4739,0.2675,0.2578,0.6395,0.2253,0.1352,-0.1656,0.0422,0.1226,5.7,1.48,4.2,7,0.1656
"Verona","Lecce","D","H",6,0.3744,0.2979,0.3274,0.4367,0.313,0.2504,-0.0623,-0.0151,0.077,6.5,2.15,3,3.75,0.077
"Torino","Inter","A","A",40,0.1502,0.247,0.6015,0.1639,0.2357,0.6004,-0.0137,0.0113,0.0011,6.1,5.75,4,1.57,0.0137
"Napoli","Genoa","D","H",45,0.6352,0.2249,0.1375,0.7322,0.1813,0.0865,-0.097,0.0436,0.051,5.1,1.3,5.25,11,0.097
"Venezia","Fiorentina","H","A",26,0.225,0.2667,0.5075,0.3057,0.2961,0.3982,-0.0807,-0.0294,0.1093,5.5,3.1,3.2,2.38,0.1093
"Atalanta","Roma","H","H",24,0.4935,0.2311,0.2725,0.485,0.2627,0.2522,0.0085,-0.0316,0.0203,5.7,1.95,3.6,3.75,0.0316
"Genoa","Atalanta","A","A",44,0.1577,0.2082,0.6296,0.2116,0.2442,0.5442,-0.0539,-0.036,0.0854,5,4.5,3.9,1.75,0.0854
"Cagliari","Venezia","H","H",28,0.5191,0.2508,0.2287,0.3659,0.3171,0.3171,0.1532,-0.0663,-0.0884,5.1,2.6,3,3,0.1532
"Fiorentina","Bologna","H","H",31,0.5418,0.233,0.2226,0.3429,0.3143,0.3429,0.1989,-0.0813,-0.1203,6.1,2.75,3,2.75,0.1989
"Inter","Lazio","D","H",36,0.5764,0.2205,0.1995,0.5849,0.2256,0.1895,-0.0085,-0.0051,0.01,5.5,1.62,4.2,5,0.01
"Juventus","Udinese","H","H",48,0.656,0.2194,0.122,0.6883,0.2,0.1117,-0.0323,0.0194,0.0103,5.3,1.38,4.75,8.5,0.0323
"Lecce","Torino","H","A",25,0.2238,0.2729,0.5026,0.5165,0.278,0.2055,-0.2927,-0.0051,0.2971,5.8,1.83,3.4,4.6,0.2971
"Monza","Empoli","A","A",5,0.3523,0.2873,0.3601,0.1894,0.2631,0.5475,0.1629,0.0242,-0.1874,5.6,5,3.6,1.73,0.1874
"Parma","Napoli","D","A",51,0.1242,0.1939,0.6762,0.1503,0.2236,0.6261,-0.0261,-0.0297,0.0501,6.5,6.25,4.2,1.5,0.0501
"Roma","Milan","H","H",21,0.4766,0.2358,0.2851,0.4112,0.2627,0.3261,0.0654,-0.0269,-0.041,5.7,2.3,3.6,2.9,0.0654
"Verona","Como","D","A",17,0.282,0.2675,0.4497,0.2711,0.2875,0.4413,0.0109,-0.02,0.0084,5.4,3.5,3.3,2.15,0.02
