"HomeTeam","AwayTeam","Actual","ModelPred","Confidence","ModelHome","ModelDraw","ModelAway","BookieHome","BookieDraw","BookieAway","ValueHome","ValueDraw","ValueAway","BookieMargin","OddsH","OddsD","OddsA","MaxValueGap"
"Cagliari","Torino","H","A",12,0.33,0.2563,0.4126,0.3401,0.3072,0.3527,-0.0101,-0.0509,0.0599,5,2.8,3.1,2.7,0.0599
"Roma","Inter","A","A",18,0.287,0.2571,0.4548,0.227,0.2577,0.5153,0.06,-6e-04,-0.0605,4.9,4.2,3.7,1.85,0.0605
"Verona","Monza","A","H",10,0.3983,0.2732,0.3279,0.4126,0.3163,0.2711,-0.0143,-0.0431,0.0568,5.4,2.3,3,3.5,0.0568
"Udinese","Cagliari","H","H",23,0.4886,0.2709,0.2398,0.4286,0.2857,0.2857,0.06,-0.0148,-0.0459,6.1,2.2,3.3,3.3,0.06
"Torino","Como","H","H",7,0.3797,0.3176,0.3026,0.3593,0.3149,0.3258,0.0204,0.0027,-0.0232,5.8,2.63,3,2.9,0.0232
"Napoli","Lecce","H","H",48,0.6531,0.2217,0.1228,0.7619,0.1587,0.0794,-0.1088,0.063,0.0434,5,1.25,6,12,0.1088
"Atalanta","Verona","H","H",46,0.6419,0.198,0.1539,0.6835,0.1986,0.1179,-0.0416,-6e-04,0.036,6,1.38,4.75,8,0.0416
"Parma","Empoli","D","H",11,0.4034,0.2649,0.3309,0.4413,0.2875,0.2711,-0.0379,-0.0226,0.0598,5.4,2.15,3.3,3.5,0.0598
"Lazio","Genoa","H","H",39,0.5965,0.2348,0.1667,0.6215,0.2264,0.1521,-0.025,0.0084,0.0146,5.2,1.53,4.2,6.25,0.025
"Monza","Venezia","D","H",16,0.4372,0.2942,0.2682,0.4427,0.2929,0.2644,-0.0055,0.0013,0.0038,5.1,2.15,3.25,3.6,0.0055
"Inter","Juventus","D","H",27,0.5155,0.2483,0.2347,0.5448,0.2677,0.1874,-0.0293,-0.0194,0.0473,6.7,1.72,3.5,5,0.0473
"Fiorentina","Roma","H","H",17,0.4449,0.2569,0.2972,0.3735,0.2801,0.3463,0.0714,-0.0232,-0.0491,5,2.55,3.4,2.75,0.0714
"Cagliari","Bologna","A","A",11,0.3462,0.247,0.4051,0.3125,0.2885,0.399,0.0337,-0.0415,0.0061,6.7,3,3.25,2.35,0.0415
"Lecce","Verona","H","A",14,0.2798,0.2964,0.4236,0.4194,0.2903,0.2903,-0.1396,0.0061,0.1333,6,2.25,3.25,3.25,0.1396
"Milan","Napoli","A","A",9,0.3226,0.2804,0.3966,0.3853,0.2776,0.3371,-0.0627,0.0028,0.0595,5.9,2.45,3.4,2.8,0.0627
"Empoli","Inter","A","A",65,0.0695,0.1543,0.7662,0.1259,0.2181,0.6559,-0.0564,-0.0638,0.1103,5.9,7.5,4.33,1.44,0.1103
"Venezia","Udinese","H","A",9,0.3109,0.2937,0.3951,0.3509,0.2915,0.3575,-0.04,0.0022,0.0376,5.5,2.7,3.25,2.65,0.04
"Atalanta","Monza","H","H",55,0.6981,0.1717,0.1191,0.7194,0.1871,0.0935,-0.0213,-0.0154,0.0256,6.9,1.3,5,10,0.0256
"Juventus","Parma","D","H",55,0.6989,0.1889,0.1066,0.6804,0.2005,0.1191,0.0185,-0.0116,-0.0125,5,1.4,4.75,8,0.0185
"Genoa","Fiorentina","A","A",15,0.2972,0.2675,0.4346,0.2267,0.2442,0.5291,0.0705,0.0233,-0.0945,5,4.2,3.9,1.8,0.0945
"Como","Lazio","A","A",19,0.2963,0.2414,0.4604,0.3281,0.2863,0.3856,-0.0318,-0.0449,0.0748,5.8,2.88,3.3,2.45,0.0748
"Roma","Torino","H","H",39,0.5951,0.2288,0.1735,0.5595,0.2503,0.1902,0.0356,-0.0215,-0.0167,5.1,1.7,3.8,5,0.0356
"Bologna","Lecce","H","H",40,0.5971,0.2519,0.1498,0.5841,0.2703,0.1456,0.013,-0.0184,0.0042,5.7,1.62,3.5,6.5,0.0184
"Udinese","Juventus","A","A",30,0.2132,0.2514,0.5341,0.2239,0.2939,0.4822,-0.0107,-0.0425,0.0519,6.3,4.2,3.2,1.95,0.0519
"Monza","Milan","A","A",43,0.1665,0.2081,0.6206,0.1876,0.2606,0.5518,-0.0211,-0.0525,0.0688,6.6,5,3.6,1.7,0.0688
"Napoli","Atalanta","A","A",11,0.3392,0.2531,0.4065,0.4636,0.2795,0.2569,-0.1244,-0.0264,0.1496,5.2,2.05,3.4,3.7,0.1496
"Torino","Fiorentina","A","A",5,0.3322,0.3062,0.3614,0.2948,0.2859,0.4193,0.0374,0.0203,-0.0579,6,3.2,3.3,2.25,0.0579
"Verona","Roma","H","A",31,0.2177,0.2411,0.5393,0.1921,0.2744,0.5335,0.0256,-0.0333,0.0058,4.1,5,3.5,1.8,0.0333
"Inter","Venezia","H","H",71,0.8085,0.1215,0.0505,0.8031,0.1342,0.0626,0.0054,-0.0127,-0.0121,6.4,1.17,7,15,0.0127
"Empoli","Como","H","A",19,0.2473,0.289,0.4633,0.3451,0.3006,0.3543,-0.0978,-0.0116,0.109,7.3,2.7,3.1,2.63,0.109
"Parma","Genoa","A","H",8,0.3893,0.2837,0.3266,0.5073,0.276,0.2167,-0.118,0.0077,0.1099,6.6,1.85,3.4,4.33,0.118
"Lazio","Cagliari","H","H",50,0.6653,0.2018,0.1284,0.625,0.25,0.125,0.0403,-0.0482,0.0034,6.7,1.5,3.75,7.5,0.0482
"Genoa","Como","D","A",5,0.3509,0.2832,0.3656,0.3281,0.2863,0.3856,0.0228,-0.0031,-0.02,5.8,2.88,3.3,2.45,0.0228
"Lecce","Empoli","D","A",12,0.2959,0.2904,0.4134,0.3957,0.3165,0.2878,-0.0998,-0.0261,0.1256,5.3,2.4,3,3.3,0.1256
"Venezia","Parma","A","A",7,0.339,0.2772,0.3832,0.3711,0.2784,0.3505,-0.0321,-0.0012,0.0327,5.7,2.55,3.4,2.7,0.0327
"Cagliari","Milan","D","A",38,0.2035,0.2,0.5886,0.173,0.2321,0.5948,0.0305,-0.0321,-0.0062,5.1,5.5,4.1,1.6,0.0321
"Juventus","Torino","H","H",41,0.609,0.2401,0.1493,0.6043,0.2497,0.146,0.0047,-0.0096,0.0033,5.4,1.57,3.8,6.5,0.0096
"Atalanta","Udinese","H","H",44,0.6253,0.1997,0.1685,0.6849,0.189,0.126,-0.0596,0.0107,0.0425,5.8,1.38,5,7.5,0.0596
"Fiorentina","Verona","H","H",38,0.5873,0.2327,0.1777,0.6554,0.2097,0.1348,-0.0681,0.023,0.0429,6,1.44,4.5,7,0.0681
"Roma","Bologna","A","H",43,0.6203,0.2123,0.1633,0.4603,0.2775,0.2621,0.16,-0.0652,-0.0988,6,2.05,3.4,3.6,0.16
"Monza","Lazio","A","A",37,0.1853,0.2348,0.5777,0.2315,0.2498,0.5187,-0.0462,-0.015,0.059,5.4,4.1,3.8,1.83,0.059
"Inter","Napoli","D","H",12,0.4156,0.2668,0.3168,0.5125,0.2562,0.2313,-0.0969,0.0106,0.0855,5.5,1.85,3.7,4.1,0.0969
"Verona","Inter","A","A",65,0.0756,0.1421,0.766,0.135,0.18,0.6849,-0.0594,-0.0379,0.0811,5.8,7,5.25,1.38,0.0811
"Milan","Juventus","D","H",12,0.4133,0.2769,0.3093,0.4413,0.2875,0.2711,-0.028,-0.0106,0.0382,5.4,2.15,3.3,3.5,0.0382
"Parma","Atalanta","A","A",53,0.128,0.1774,0.6846,0.1895,0.2256,0.5849,-0.0615,-0.0482,0.0997,5.5,5,4.2,1.62,0.0997
"Genoa","Cagliari","D","H",23,0.4858,0.2751,0.2386,0.3629,0.3079,0.3291,0.1229,-0.0328,-0.0905,4.8,2.63,3.1,2.9,0.1229
"Como","Fiorentina","A","A",9,0.3514,0.2526,0.3947,0.2858,0.3042,0.41,0.0656,-0.0516,-0.0153,6,3.3,3.1,2.3,0.0656
